Month,Jylland + Fyn,Sjælland + Øer
2024-03,0.571,0.569
2024-04,0.552,0.564
2024-05,0.546,0.542
2024-06,0.594,0.623
2024-07,0.578,0.586
2024-08,0.680,0.677
2024-09,0.669,0.657
2024-10,0.715,0.712
2024-11,0.894,0.888
2024-12,0.856,0.865
2025-01,0.914,0.934
2025-02,1.052,1.100
2025-03,0.786,0.772
2025-04,0.701,0.707
2025-05,0.599,0.588
2025-06,0.548,0.526
2025-07,0.772,0.746
2025-08,0.685,0.703
2025-09,0.676,0.777
2025-10,0.730,0.767
2025-11,0.867,0.875
2025-12,0.770,0.766
2026-01,0.986,1.026
2026-02,0.897,1.059
